2275025,40,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL
2280374,71,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2287576,206,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2311557,58,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL
2324576,177,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2339034,50,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
2452442,137,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL
2469940,42,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2576903,81,NULL,37,NULL,NULL,29,NULL,NULL,NULL
2988464,38,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL
3015268,126,NULL,NULL,NULL,22,NULL,NULL,NULL,23
3143670,74,NULL,67,NULL,NULL,NULL,NULL,NULL,NULL
3143823,347,NULL,48,NULL,NULL,118,NULL,NULL,NULL
3389828,41,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL
3414900,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175
3448806,58,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3496570,272,NULL,47,NULL,NULL,221,NULL,NULL,NULL
3783693,45,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL
3929393,83,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL
4107331,20,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
4038,93,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL
6276,324,155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34824,157,50,NULL,NULL,NULL,NULL,NULL,NULL,38
40872,30,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42303,160,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL
68348,29,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80907,142,29,NULL,NULL,NULL,NULL,NULL,48,NULL
83313,40,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90042,96,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL
121626,42,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL
129750,288,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL
146694,27,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147530,361,21,24,NULL,NULL,NULL,NULL,NULL,NULL
160527,45,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202241,27,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212878,95,NULL,NULL,61,NULL,NULL,45,NULL,NULL
213269,103,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL
217649,175,NULL,NULL,25,NULL,NULL,NULL,NULL,24
226507,43,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL
227209,39,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241654,38,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
243755,151,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL
261110,88,37,NULL,NULL,NULL,NULL,NULL,NULL,25
315828,86,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325418,252,NULL,NULL,24,NULL,NULL,NULL,32,NULL
330057,171,NULL,77,NULL,NULL,NULL,NULL,NULL,25
343159,61,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL
380161,51,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL
385273,96,NULL,NULL,37,NULL,NULL,NULL,26,NULL
404395,57,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
404568,239,NULL,22,NULL,NULL,58,NULL,NULL,NULL
426051,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
457348,35,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
472245,141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77
501134,73,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL
552733,35,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL
590903,52,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL
609630,417,NULL,NULL,42,NULL,NULL,125,203,NULL
630556,61,NULL,NULL,NULL,NULL,54,NULL,NULL,NULL
635504,45,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
641752,126,NULL,28,NULL,NULL,48,NULL,NULL,NULL
661933,56,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
699978,63,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
735912,61,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL
752288,108,NULL,NULL,58,NULL,NULL,55,NULL,NULL
804289,35,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
819774,102,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL
832565,109,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL
832967,81,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
875317,152,44,NULL,NULL,NULL,94,NULL,NULL,NULL
923390,48,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL
927002,47,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL
967405,97,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL
975234,77,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL
978733,93,NULL,NULL,37,NULL,NULL,34,49,NULL
984415,73,NULL,NULL,26,NULL,NULL,NULL,34,NULL
1000159,36,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL
1045794,106,NULL,NULL,46,NULL,NULL,21,NULL,NULL
1056958,116,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL
1058319,341,NULL,230,NULL,NULL,41,NULL,NULL,NULL
